Period,PRS-IGRF,PRS-GRF,PRS-ISEQF,PRS-SEQF,PRS-IMDF,PRS-MDF,PRS-EQF
1-Day,0.46%,0.44%,1.04%,-0.19%,-0.19%,0.50%,-0.40%
1-Week,-1.10%,-1.67%,-1.50%,-0.72%,-1.13%,-1.67%,-3.63%
2-Week,1.59%,-0.79%,0.08%,-1.04%,0.22%,0.44%,-3.58%
3-Week,-0.96%,-2.78%,-2.20%,-4.25%,-1.87%,-0.43%,-3.61%
1-Month,-0.86%,-2.74%,-3.22%,-3.53%,-1.94%,-0.20%,-3.30%
3-Month,5.39%,1.47%,1.20%,2.68%,6.98%,2.88%,0.71%
6-Month,-7.78%,-6.52%,-11.53%,-6.51%,-5.13%,-1.51%,-3.07%
9-Month,1.89%,4.93%,-3.94%,5.68%,3.25%,6.91%,9.40%
1-Year,13.50%,10.99%,5.19%,14.01%,9.63%,13.77%,17.50%
2-Year,36.27%,14.77%,27.32%,15.68%,14.44%,22.75%,28.92%
3-Year,7.76%,-4.55%,0.49%,3.34%,-0.69%,7.81%,21.62%
Selected_To_Date,16-Jan-2025,16-Jan-2025,16-Jan-2025,16-Jan-2025,16-Jan-2025,16-Jan-2025,16-Jan-2025
